"","point","year","canyon","mountain_range","longitude","latitude","elevation_m","terrain_ruggedness","sagebrush_cover","rabbitbrush_cover","riparian_cover","coniferous_cover","veg_cover","precipitation","max_temp","min_temp"
"1758","SU04.1",2006,"Summit","Toiyabe",-117.2667,38.9755,2350.3,619.04,0.24,0,0.31,0.18,0.49,106.68,19.2,-6.3
"1759","SU04.2",2006,"Summit","Toiyabe",-117.2724,38.9761,2408.7,682.07,0.14,0.05,0.45,0.14,0.6,203.2,14,-8.7
"1760","SU05.1",2006,"Summit","Toiyabe",-117.2763,38.9804,2467.7,593.25,0.57,0.05,0,0.16,0.16,200.91,14.4,-8.2
"1761","SU05.2",2006,"Summit","Toiyabe",-117.2779,38.9836,2523,586.58,0.57,0.05,0,0.16,0.16,200.91,14.4,-8.2
"1762","SU06.1",2006,"Summit","Toiyabe",-117.2811,38.9844,2575.2,649.97,0.48,0,0,0.18,0.18,200.91,14.4,-8.2
"1763","SU06.2",2006,"Summit","Toiyabe",-117.2796,38.9829,2587,794.81,0.14,0,0,0.71,0.71,200.91,14.4,-8.2
"1764","SW00.1",2006,"Stewart","Toiyabe",-117.3798,38.9018,2604.5,582.66,0.43,0.05,0.41,0,0.41,167.13,15.6,-8.6
"1765","SW01.1",2006,"Stewart","Toiyabe",-117.377,38.8998,2635.2,625.67,0.1,0,0.81,0,0.81,167.13,15.6,-8.6
"1766","SW01.2",2006,"Stewart","Toiyabe",-117.375,38.8967,2667.1,455.97,0,0,0.9,0,0.9,167.13,15.6,-8.6
"1767","SW02.1",2006,"Stewart","Toiyabe",-117.3723,38.8944,2731.3,567.63,0.19,0.05,0.68,0,0.68,240.79,12.6,-10.4
"1768","SW02.2",2006,"Stewart","Toiyabe",-117.3698,38.8924,2795.2,435.72,0.43,0.14,0,0,0,240.79,12.6,-10.4
"1769","SW03.1",2006,"Stewart","Toiyabe",-117.3645,38.8911,2853.9,605.79,0.29,0,0.63,0,0.63,240.79,12.6,-10.4
"1770","SW03.2",2006,"Stewart","Toiyabe",-117.3615,38.8888,2896.9,538.79,0.05,0,0.9,0,0.9,240.79,12.6,-10.4
"1771","SW04.1",2006,"Stewart","Toiyabe",-117.3583,38.8871,2949.8,661.09,0.33,0,0,0.32,0.32,240.79,12.6,-10.4
"1772","SW05.1",2006,"Stewart","Toiyabe",-117.356,38.8863,3016.6,858.42,0.38,0,0.18,0.47,0.65,240.79,12.6,-10.4
"1773","SW05.2",2006,"Stewart","Toiyabe",-117.3543,38.8855,3066.5,909.62,0.19,0,0.47,0,0.47,240.79,12.6,-10.4
"1774","SW06.1",2006,"Stewart","Toiyabe",-117.3527,38.8828,3161.7,881.89,0.29,0.05,0,0.36,0.36,238.5,12.8,-9.7
"1775","SW06.2",2006,"Stewart","Toiyabe",-117.3524,38.88,3219.1,675.83,0.9,0.1,0,0,0,238.5,12.8,-9.7
"1776","UN01.1",2006,"Underdown","Shoshone",-117.3825,39.157,2026.7,330.8,0.1,0.05,0.17,0.23,0.4,90.93,20.6,-7
"1777","UN01.2",2006,"Underdown","Shoshone",-117.3877,39.1575,2062.3,498.64,0.62,0,0,0.24,0.24,90.93,20.6,-7
"1778","UN02.1",2006,"Underdown","Shoshone",-117.3955,39.161,2114.1,446.04,0.33,0.14,0,0.24,0.24,90.93,20.6,-7
"1779","UN02.2",2006,"Underdown","Shoshone",-117.4011,39.1624,2147.1,414.83,0.29,0.1,0,0.29,0.29,142.23,17.7,-6.9
"1780","UN03.1",2006,"Underdown","Shoshone",-117.4122,39.1648,2207.3,410.29,0.14,0.05,0,0.08,0.08,142.23,17.7,-6.9
"1781","UN03.2",2006,"Underdown","Shoshone",-117.4184,39.1672,2245.9,419.07,0.24,0,0,0.27,0.27,142.23,17.7,-6.9
"1782","UN04.1",2006,"Underdown","Shoshone",-117.4278,39.1684,2296.1,407.21,0.43,0,0,0.14,0.14,142.23,17.7,-6.9
"1783","UN04.2",2006,"Underdown","Shoshone",-117.4379,39.173,2365,329.87,0.33,0.62,0,0.01,0.01,199.39,15.1,-7.8
"1784","UN05.1",2006,"Underdown","Shoshone",-117.4415,39.1688,2424.3,319.11,0.33,0.1,0,0.01,0.01,199.39,15.1,-7.8
"1785","UN05.2",2006,"Underdown","Shoshone",-117.4425,39.1629,2505.8,412.72,0.86,0.05,0,0,0,199.39,15.1,-7.8
"1786","UN06.1",2006,"Underdown","Shoshone",-117.4468,39.162,2568.7,430.16,0.67,0.14,0,0,0,199.39,15.1,-7.8
"1787","UN06.2",2006,"Underdown","Shoshone",-117.4479,39.1591,2590.6,461.07,0.48,0.05,0,0,0,199.39,15.1,-7.8
"1788","UN07.1",2006,"Underdown","Shoshone",-117.4503,39.159,2634.4,518.38,0.43,0.19,0,0,0,199.39,15.1,-7.8
"1789","UN07.2",2006,"Underdown","Shoshone",-117.4514,39.1597,2656.7,540.26,0.33,0.1,0,0.47,0.47,199.39,15.1,-7.8
"1790","UN0B1",2006,"Underdown","Shoshone",-117.3911,39.159,2083,537.5,0.14,0.76,0,0,0,90.93,20.6,-7
"1791","UN0B2",2006,"Underdown","Shoshone",-117.3973,39.1608,2128.7,480.19,0.05,0.52,0,0,0,142.23,17.7,-6.9
"1792","UN0B3",2006,"Underdown","Shoshone",-117.3984,39.1611,2134.7,472.2,0,0.19,0,0.03,0.03,142.23,17.7,-6.9
"1793","UN0B4",2006,"Underdown","Shoshone",-117.3997,39.1617,2137,463.25,0.05,0.1,0,0.14,0.14,142.23,17.7,-6.9
"1794","UN0B5",2006,"Underdown","Shoshone",-117.4151,39.1655,2231.2,389.93,0.24,0.52,0,0,0,142.23,17.7,-6.9
"1795","UN0B6",2006,"Underdown","Shoshone",-117.4176,39.1663,2245.1,440.03,0.48,0.33,0,0.03,0.03,142.23,17.7,-6.9
"1796","UN0B7",2006,"Underdown","Shoshone",-117.4202,39.1673,2258.5,430.82,0.14,0.19,0,0,0,142.23,17.7,-6.9
"1797","WA01.1",2006,"Wall","Toiyabe",-117.2226,38.6812,1938.3,651.16,0.52,0.05,0,0,0,78.75,22.5,-5.4
"1798","WA01.2",2006,"Wall","Toiyabe",-117.2329,38.6833,1983.9,521.8,0.76,0.24,0,0,0,114.05,18.8,-7.6
"1799","WA02.1",2006,"Wall","Toiyabe",-117.2431,38.6857,2036.7,433.75,0.33,0.05,0,0.04,0.04,114.05,18.8,-7.6
"1800","WA02.2",2006,"Wall","Toiyabe",-117.2528,38.6884,2086.5,404.58,0.76,0,0,0.18,0.18,120.66,18.8,-7.3
"1801","WA03.1",2006,"Wall","Toiyabe",-117.2638,38.6925,2151.1,445.37,0.14,0.14,0,0.12,0.12,120.66,18.8,-7.3
"1802","WA03.2",2006,"Wall","Toiyabe",-117.2702,38.6959,2201.1,363.73,0.24,0.1,0,0,0,120.66,18.8,-7.3
"1803","WA04.1",2006,"Wall","Toiyabe",-117.2781,38.7036,2259.6,300.67,0.19,0.38,0,0,0,157.23,17.2,-9.1
"1804","WA04.2",2006,"Wall","Toiyabe",-117.2823,38.7067,2303.4,485.67,0.24,0.1,0,0,0,157.23,17.2,-9.1
"1805","WA05.1",2006,"Wall","Toiyabe",-117.289,38.7089,2355.7,434.23,0.1,0.1,0,0,0,157.23,17.2,-9.1
"1806","WA05.2",2006,"Wall","Toiyabe",-117.2924,38.7124,2414.3,501.26,0,0.14,0,0,0,157.23,17.2,-9.1
"1807","WA06.1",2006,"Wall","Toiyabe",-117.2883,38.7122,2404.6,519,0,0.1,0,0.13,0.13,157.23,17.2,-9.1
"1808","WA0B1",2006,"Wall","Toiyabe",-117.2673,38.6936,2174.4,418,0.1,0.67,0,0,0,120.66,18.8,-7.3
"1809","WA0B2",2006,"Wall","Toiyabe",-117.2716,38.6972,2212.3,436.3,0,0.19,0,0,0,157.23,17.2,-9.1
"1810","WA0B3",2006,"Wall","Toiyabe",-117.2722,38.6998,2226.5,447.95,0,0.71,0,0,0,157.23,17.2,-9.1
"1811","WA0B4",2006,"Wall","Toiyabe",-117.2764,38.7032,2263,461.57,0,0.1,0,0,0,157.23,17.2,-9.1
"1812","WA0B5",2006,"Wall","Toiyabe",-117.2793,38.7043,2267.5,322.96,0,0.67,0,0,0,157.23,17.2,-9.1
"1813","WA0B6",2006,"Wall","Toiyabe",-117.2854,38.707,2321.2,354.06,0,0.19,0,0.03,0.03,157.23,17.2,-9.1
"1814","WA0B7",2006,"Wall","Toiyabe",-117.2909,38.7094,2372.4,430.45,0.05,0.05,0,0.01,0.01,157.23,17.2,-9.1
"1815","WH08",2006,"WhiteSage","Monitor",-116.493,39.2064,2319.9,391.94,0.81,0.38,0,0.15,0.15,116.84,18.3,-8.2
"1816","WH09",2006,"WhiteSage","Monitor",-116.5143,39.2043,2253,403.47,0.52,0.38,0,0,0,116.84,18.3,-8.2
"1817","WH10",2006,"WhiteSage","Monitor",-116.5254,39.1865,2205.1,289.69,0.52,0.38,0,0.08,0.08,102.62,19.4,-7.6
"1818","WH11",2006,"WhiteSage","Monitor",-116.5289,39.1752,2177.5,316.78,0.71,0.14,0,0.07,0.07,102.62,19.4,-7.6
"1819","WH12",2006,"WhiteSage","Monitor",-116.5301,39.1685,2162.8,227.84,0.86,0.1,0,0,0,102.62,19.4,-7.6
"1820","WH13",2006,"WhiteSage","Monitor",-116.5375,39.1445,2117,260.34,0.85,0.07,0,0,0,96.01,20.1,-7.6
"1821","WL01",2006,"Wallace","Monitor",-116.5717,39.3,2134.1,333.35,0.29,0.05,0.06,0.04,0.1,99.57,20.2,-7.2
"1822","WL02",2006,"Wallace","Monitor",-116.5676,39.3024,2155.3,469.87,0,0,1,0,1,99.57,20.2,-7.2
"1823","WL03",2006,"Wallace","Monitor",-116.5648,39.3054,2163.9,395.27,0.76,0.38,0,0.22,0.22,99.57,20.2,-7.2
"1824","WL04",2006,"Wallace","Monitor",-116.5549,39.3141,2204,470.85,0.52,0.19,0,0.29,0.29,124.46,17.2,-7.6
"1825","WL05",2006,"Wallace","Monitor",-116.5372,39.322,2312.8,585.84,0,0,0.13,0.33,0.45,124.46,17.2,-7.6
"1826","WL06",2006,"Wallace","Monitor",-116.5342,39.3217,2327,554.82,0.1,0,0.23,0.25,0.47,124.46,17.2,-7.6
"1827","WL07",2006,"Wallace","Monitor",-116.5311,39.3206,2347.4,499.58,0.38,0.14,0.3,0.21,0.5,124.46,17.2,-7.6
"1828","WL08",2006,"Wallace","Monitor",-116.5273,39.3197,2363.8,491.62,0.29,0,0.46,0.28,0.69,124.46,17.2,-7.6
"1829","WL09",2006,"Wallace","Monitor",-116.5203,39.3181,2423.4,411.71,0.33,0.14,0,0.05,0.05,138.69,16.1,-8.2
"1830","WL10",2006,"Wallace","Monitor",-116.5232,39.3115,2367.3,407.09,0.19,0,0,0.3,0.3,113.03,18.2,-7.7
"1831","WL11",2006,"Wallace","Monitor",-116.5178,39.2983,2279.2,382.58,0.67,0.38,0,0.05,0.05,115.57,18.6,-8.1
"1832","WL12",2006,"Wallace","Monitor",-116.5106,39.2884,2284,234.18,0.52,0.52,0,0,0,115.57,18.6,-8.1
"1833","WL13",2006,"Wallace","Monitor",-116.4967,39.2799,2271.6,363.45,0.57,0.62,0,0,0,115.57,18.6,-8.1
"1834","WS01.1",2006,"Washington","Toiyabe",-117.2726,39.159,2133.3,352.02,0.14,0.1,0.24,0.03,0.27,97.78,20.3,-6.3
"1835","WS01.2",2006,"Washington","Toiyabe",-117.2631,39.1569,2187.8,458.83,0,0,0.21,0.03,0.24,149.61,17.2,-6.2
"1836","WS01.3",2006,"Washington","Toiyabe",-117.2575,39.1563,2211.9,521.07,0.43,0.05,0,0.27,0.27,149.61,17.2,-6.2
"1837","WS02.1",2006,"Washington","Toiyabe",-117.2501,39.1535,2251.9,507.53,0.33,0.05,0.03,0.46,0.49,149.61,17.2,-6.2
"1838","WS02.2",2006,"Washington","Toiyabe",-117.2475,39.153,2269,505.22,0.19,0,0.3,0.16,0.46,149.61,17.2,-6.2
"1839","WS02.3",2006,"Washington","Toiyabe",-117.2432,39.1528,2294.7,530.35,0.19,0,0.12,0.22,0.34,149.61,17.2,-6.2
"1840","WS03.1",2006,"Washington","Toiyabe",-117.2357,39.1546,2332.1,453.49,0.57,0,0.22,0.05,0.26,149.61,17.2,-6.2
"1841","WS03.2",2006,"Washington","Toiyabe",-117.2321,39.1551,2351.9,480.97,0.19,0.05,0.38,0,0.38,149.61,17.2,-6.2
"1842","WS03.3",2006,"Washington","Toiyabe",-117.2255,39.156,2394.8,563.67,0.14,0,0.66,0.26,0.92,234.18,14.7,-7.7
"1843","AL14",2007,"Allison","Monitor",-116.4824,39.2745,2285.1,261.85,0.33,0.29,0,0,0,74.42,19,-3.4
"1844","AL15",2007,"Allison","Monitor",-116.4774,39.2835,2325.2,327.14,0.71,0.33,0,0.09,0.09,84.59,17.4,-3.3
"1845","AL16",2007,"Allison","Monitor",-116.4678,39.2915,2394.3,385.55,0.48,0.05,0,0.14,0.14,84.59,17.4,-3.3
"1846","AL17",2007,"Allison","Monitor",-116.4547,39.3079,2487.1,273.18,0.62,0.1,0,0,0,84.59,17.4,-3.3
"1847","AL18",2007,"Allison","Monitor",-116.4463,39.3091,2397.5,504.64,0,0,0,0.55,0.55,84.59,17.4,-3.3
"1848","AL19",2007,"Allison","Monitor",-116.4349,39.315,2279.7,473.37,0.43,0.14,0.05,0.28,0.32,71.12,19.8,-3
"1849","AL20",2007,"Allison","Monitor",-116.4234,39.3172,2227.5,563.92,0.19,0.33,0.05,0.27,0.31,71.12,19.8,-3
"1850","AL21",2007,"Allison","Monitor",-116.4205,39.3186,2209.2,470.53,0.38,0.1,0,0.29,0.29,71.12,19.8,-3
"1851","AL22",2007,"Allison","Monitor",-116.4168,39.3227,2179.1,316.85,0.19,0.05,0,0.41,0.41,71.12,19.8,-3
"1852","AN01.1",2007,"Antone","Toquima",-116.9049,38.6693,2403.3,486.13,0.05,0.57,0.04,0,0.04,128.02,17,-4.8
"1853","AN01.2",2007,"Antone","Toquima",-116.911,38.6671,2425.4,446.62,0.1,0.43,0.03,0,0.03,128.02,17,-4.8
"1854","AN01.3",2007,"Antone","Toquima",-116.915,38.6672,2449.7,510.8,0.19,0.24,0.36,0,0.36,128.02,17,-4.8
"1855","AN02.1",2007,"Antone","Toquima",-116.9206,38.6641,2485.9,392.79,0.86,0.19,0,0.01,0.01,128.02,17,-4.8
"1856","AN02.2",2007,"Antone","Toquima",-116.9257,38.6637,2518.3,407.86,0.14,0.71,0,0,0,128.02,17,-4.8
"1857","AN03.1",2007,"Antone","Toquima",-116.9357,38.6626,2603.6,559.86,0.1,0.1,0.36,0,0.36,128.02,17,-4.8
"1858","AN03.2",2007,"Antone","Toquima",-116.9405,38.6601,2657.7,525.97,0.57,0,0,0,0,167.39,13.4,-4.6
"1859","AN04.1",2007,"Antone","Toquima",-116.9461,38.6591,2735.3,609.77,0.86,0,0,0,0,167.39,13.4,-4.6
"1860","BA01.1",2007,"Barrett","Shoshone",-117.4875,39.0907,2156.2,421.29,0.29,0.1,0,0.35,0.35,85.85,18.6,-3.8
"1861","BA01.2",2007,"Barrett","Shoshone",-117.4922,39.0928,2179.6,486.67,0.33,0.19,0,0.31,0.31,85.85,18.6,-3.8
"1862","BA02.1",2007,"Barrett","Shoshone",-117.5073,39.0955,2263.5,452.05,0.62,0.19,0,0,0,85.85,18.6,-3.8
"1863","BA02.2",2007,"Barrett","Shoshone",-117.5103,39.0966,2282.2,453.83,0.33,0.24,0,0.34,0.34,85.85,18.6,-3.8
"1864","BA03.1",2007,"Barrett","Shoshone",-117.5223,39.0966,2364.4,524.44,0.57,0.1,0,0,0,123.19,16.2,-2.5
"1865","BA03.2",2007,"Barrett","Shoshone",-117.5263,39.0967,2395,554.95,0.71,0.1,0,0.11,0.11,123.19,16.2,-2.5
"1866","BA04.1",2007,"Barrett","Shoshone",-117.533,39.0977,2454.8,586.86,0.57,0.14,0,0.35,0.35,123.19,16.2,-2.5
"1867","BA04.2",2007,"Barrett","Shoshone",-117.5341,39.099,2468,531.02,0.76,0.24,0,0.03,0.03,123.19,16.2,-2.5
"1868","BA05.1",2007,"Barrett","Shoshone",-117.5377,39.102,2517.7,443.22,0.76,0.29,0,0,0,123.19,16.2,-2.5
"1869","BA05.2",2007,"Barrett","Shoshone",-117.54,39.103,2553.8,440.57,0.24,0.48,0,0,0,123.19,16.2,-2.5
"1870","BA06.1",2007,"Barrett","Shoshone",-117.5431,39.1054,2640.3,616.57,0.29,0,0,0.04,0.04,112.27,16.8,-2.8
"1871","BA06.2",2007,"Barrett","Shoshone",-117.5443,39.1059,2678.7,663.46,0.24,0.14,0,0.06,0.06,112.27,16.8,-2.8
"1872","BE01.1",2007,"Becker","Shoshone",-117.468,39.0999,2166.4,532.05,0.14,0,0,0.62,0.62,57.66,20.3,-4.4
"1873","BE01.2",2007,"Becker","Shoshone",-117.47,39.1039,2187.9,408.06,0.19,0.19,0,0.53,0.53,57.66,20.3,-4.4
"1874","BE02.1",2007,"Becker","Shoshone",-117.4714,39.1127,2241.2,498.1,0.29,0.1,0,0.34,0.34,114.55,16.9,-2.9
"1875","BE02.2",2007,"Becker","Shoshone",-117.4707,39.1139,2248,397.26,0.33,0.14,0,0.23,0.23,114.55,16.9,-2.9
"1876","BE03.1",2007,"Becker","Shoshone",-117.4652,39.124,2359.3,579.32,0.14,0,0,0.83,0.83,114.55,16.9,-2.9
"1877","BE03.2",2007,"Becker","Shoshone",-117.4646,39.1248,2373.4,589.29,0.24,0.05,0,0.27,0.27,114.55,16.9,-2.9
"1878","BI01.1",2007,"Birch","Toiyabe",-117.0129,39.3804,1966.4,461.61,0.19,0,0,0.21,0.21,76.96,21.4,-1.2
"1879","BI01.2",2007,"Birch","Toiyabe",-117.0166,39.3809,1990.7,477.79,0.43,0.1,0.24,0.02,0.26,76.96,21.4,-1.2
"1880","BI02.1",2007,"Birch","Toiyabe",-117.0281,39.3878,2057.8,477.12,0.19,0,0.24,0.12,0.36,155.7,16.9,-1.4
"1881","BI02.2",2007,"Birch","Toiyabe",-117.0324,39.3898,2104.5,606.85,0.43,0.13,0,0.1,0.1,155.7,16.9,-1.4
"1882","BI03.1",2007,"Birch","Toiyabe",-117.0329,39.3932,2122.3,613.14,0.24,0,0.05,0.5,0.55,155.7,16.9,-1.4
"1883","BI03.2",2007,"Birch","Toiyabe",-117.0351,39.3962,2153.2,521.75,0.48,0.1,0.04,0.01,0.05,143.25,17.7,-0.7
"1884","BI03.3",2007,"Birch","Toiyabe",-117.0398,39.3986,2157.6,360.5,0.14,0,0,0,0,143.25,17.7,-0.7
"1885","BI04.1",2007,"Birch","Toiyabe",-117.0463,39.4092,2210.7,484.82,0.67,0.33,0.04,0,0.04,143.25,17.7,-0.7
"1886","BI04.2",2007,"Birch","Toiyabe",-117.0476,39.4132,2230.7,487.55,0.29,0.24,0.14,0,0.14,143.25,17.7,-0.7
"1887","BI04.3",2007,"Birch","Toiyabe",-117.0462,39.4246,2324.3,457.78,0.29,0.05,0.05,0,0.05,143.25,17.7,-0.7
"1888","BI05.1",2007,"Birch","Toiyabe",-117.0457,39.4285,2376,482.39,0.48,0,0,0,0,143.25,17.7,-0.7
"1889","BI05.2",2007,"Birch","Toiyabe",-117.0475,39.4313,2409.9,510.6,0.67,0,0,0,0,143.25,17.7,-0.7
"1890","BI06.1",2007,"Birch","Toiyabe",-117.0532,39.4338,2483.6,483.17,0.43,0.1,0,0,0,143.25,17.7,-0.7
"1891","BI06.2",2007,"Birch","Toiyabe",-117.0554,39.437,2524,454.62,0.71,0.38,0,0,0,143.25,17.7,-0.7
"1892","BI07.1",2007,"Birch","Toiyabe",-117.0527,39.4409,2554.8,404.46,0.38,0.05,0,0,0,127.26,17.8,-1.2
"1893","BI07.2",2007,"Birch","Toiyabe",-117.0515,39.4441,2586.3,425.18,0.29,0.14,0,0,0,127.26,17.8,-1.2
"1894","BI0B1",2007,"Birch","Toiyabe",-117.0012,39.3724,1900.1,458.07,0,0,0,0,0,76.96,21.4,-1.2
"1895","BI0B2",2007,"Birch","Toiyabe",-117.0042,39.3739,1919.6,539.1,0,0.05,0.02,0,0.02,76.96,21.4,-1.2
"1896","BI0B3",2007,"Birch","Toiyabe",-117.0078,39.3756,1928.9,474.75,0.05,0.05,0,0,0,76.96,21.4,-1.2
"1897","BI0B4",2007,"Birch","Toiyabe",-117.0107,39.3791,1959.9,554.93,0.05,0.14,0.38,0.02,0.4,76.96,21.4,-1.2
"1898","BL01",2007,"Barley","Monitor",-116.6971,38.6207,2249,241.79,0.33,0,0,0.05,0.05,68.08,20.2,-4
"1899","BL02",2007,"Barley","Monitor",-116.696,38.6238,2239.7,514.98,0.67,0.29,0,0.21,0.21,68.08,20.2,-4
"1900","BL03",2007,"Barley","Monitor",-116.6953,38.627,2224.9,500.99,0.52,0.05,0.4,0.02,0.42,68.08,20.2,-4
"1901","BL04",2007,"Barley","Monitor",-116.6838,38.6316,2241,335.22,0.52,0.29,0.24,0,0.24,109.21,18.5,-3.7
"1902","BL05",2007,"Barley","Monitor",-116.6801,38.633,2244.9,435.42,0.43,0.31,0.11,0.02,0.14,109.21,18.5,-3.7
"1903","BL06",2007,"Barley","Monitor",-116.6762,38.6343,2256,420.27,0.33,0.14,0,0.06,0.06,109.21,18.5,-3.7
"1904","BL07",2007,"Barley","Monitor",-116.6721,38.6337,2258,386.85,0.38,0.19,0.08,0.26,0.34,109.21,18.5,-3.7
"1905","BL08",2007,"Barley","Monitor",-116.6635,38.6356,2275.5,363.69,0.52,0,0,0.04,0.04,109.21,18.5,-3.7
"1906","BL09",2007,"Barley","Monitor",-116.6595,38.637,2282.8,351.61,0.1,0.48,0.19,0.02,0.22,109.21,18.5,-3.7
"1907","BL10",2007,"Barley","Monitor",-116.6528,38.6418,2308.6,413.23,0.05,0,0,0.6,0.6,109.21,18.5,-3.7
"1908","BL11",2007,"Barley","Monitor",-116.6475,38.6444,2318.2,516.1,0.24,0.14,0,0.03,0.03,109.21,18.5,-3.7
"1909","BL12",2007,"Barley","Monitor",-116.6396,38.6537,2344.6,369.23,0.19,0.19,0.11,0.01,0.13,138.69,17.1,-3.3
"1910","BL13",2007,"Barley","Monitor",-116.6385,38.6556,2358.9,505.39,0.33,0.05,0.18,0.02,0.2,138.69,17.1,-3.3
"1911","BL14",2007,"Barley","Monitor",-116.6368,38.6584,2375.6,526.21,0.19,0.38,0,0.08,0.08,138.69,17.1,-3.3
"1912","BL15",2007,"Barley","Monitor",-116.6379,38.6629,2388.8,527.53,0.29,0.24,0.06,0.11,0.18,138.69,17.1,-3.3
"1913","BL16",2007,"Barley","Monitor",-116.6377,38.6661,2397.6,404.23,0.38,0.24,0.18,0.04,0.22,138.69,17.1,-3.3
"1914","CBN01",2007,"CharnocNorth","Monitor",-116.4643,39.2916,2422,387.63,0.95,0,0,0,0,84.59,17.4,-3.3
"1915","CBN02",2007,"CharnocNorth","Monitor",-116.4611,39.2911,2456.6,486.16,0.71,0.1,0.19,0.02,0.21,84.59,17.4,-3.3
"1916","CBN04",2007,"CharnocNorth","Monitor",-116.465,39.2989,2424.9,355.47,0.81,0.43,0,0.02,0.02,84.59,17.4,-3.3
"1917","CBN05",2007,"CharnocNorth","Monitor",-116.4659,39.2961,2413.2,393.3,0.57,0.24,0,0.02,0.02,84.59,17.4,-3.3
"1918","CBS01",2007,"CharnocSouth","Monitor",-116.4692,39.2603,2341.1,368.6,0.62,0.52,0,0,0,82.3,17.9,-2.9
"1919","CBS02",2007,"CharnocSouth","Monitor",-116.472,39.262,2338.7,328.05,0.57,0.38,0,0.04,0.04,82.3,17.9,-2.9
"1920","CBS03",2007,"CharnocSouth","Monitor",-116.4752,39.2624,2328.2,354.67,0.48,0.19,0,0.13,0.13,82.3,17.9,-2.9
"1921","CBS04",2007,"CharnocSouth","Monitor",-116.4775,39.2644,2330.1,281.49,0.52,0.29,0,0,0,82.3,17.9,-2.9
"1922","CBS05",2007,"CharnocSouth","Monitor",-116.4785,39.267,2335.9,409.67,0.14,0,0,0.42,0.42,82.3,17.9,-2.9
"1923","DE05.1",2007,"DobbinEast","Monitor",-116.5131,38.9387,2640.3,465.41,0.24,0.14,0.01,0.03,0.03,135.12,16.6,-3.1
"1924","DE05.2",2007,"DobbinEast","Monitor",-116.515,38.9359,2614.4,427.97,0.57,0.05,0,0.05,0.05,112.77,17.4,-3.4
"1925","DE05.3",2007,"DobbinEast","Monitor",-116.5121,38.9296,2546.3,410.28,0.38,0.05,0,0,0,112.77,17.4,-3.4
"1926","DE06.1",2007,"DobbinEast","Monitor",-116.5084,38.9227,2485.9,446.5,0.38,0.14,0.04,0.04,0.08,112.77,17.4,-3.4
"1927","DE06.2",2007,"DobbinEast","Monitor",-116.5007,38.9159,2436.9,442.09,0.14,0.19,0,0.06,0.06,112.77,17.4,-3.4
"1928","DE06.3",2007,"DobbinEast","Monitor",-116.4919,38.9075,2375.3,430.81,0.33,0,0,0.52,0.52,112.77,17.4,-3.4
"1929","DE07.1",2007,"DobbinEast","Monitor",-116.4878,38.9075,2334.2,546.82,0,0,0,0.4,0.4,112.77,17.4,-3.4
"1930","DE07.2",2007,"DobbinEast","Monitor",-116.4832,38.9049,2278.7,337.6,0.24,0,0,0.42,0.42,112.77,17.4,-3.4
"1931","DE07.3",2007,"DobbinEast","Monitor",-116.4859,38.9009,2282.8,234.08,0,0,0,0.37,0.37,112.77,17.4,-3.4
"1932","DW01.1",2007,"DobbinWest","Monitor",-116.567,38.9876,2258.1,277.35,0.62,0.24,0,0.01,0.01,62.74,19.9,-3.8
"1933","DW01.2",2007,"DobbinWest","Monitor",-116.5594,38.9753,2310.8,346.96,0.24,0.05,0,0.11,0.11,92.71,18.1,-3.6
"1934","DW02.1",2007,"DobbinWest","Monitor",-116.5517,38.9667,2356.2,440.05,0.67,0.1,0,0.04,0.04,92.71,18.1,-3.6
"1935","DW02.2",2007,"DobbinWest","Monitor",-116.5421,38.9609,2394.4,409.84,0.43,0.1,0,0.46,0.46,92.71,18.1,-3.6
"1936","DW03.1",2007,"DobbinWest","Monitor",-116.5388,38.9589,2415.8,492.24,0.48,0.05,0,0.2,0.2,92.71,18.1,-3.6
"1937","DW03.2",2007,"DobbinWest","Monitor",-116.5335,38.9574,2438.1,479.45,0.52,0.19,0.24,0.14,0.38,92.71,18.1,-3.6
"1938","DW03.3",2007,"DobbinWest","Monitor",-116.5174,38.9549,2479.7,263.57,0.62,0.33,0,0.03,0.03,135.12,16.6,-3.1
"1939","DW04.1",2007,"DobbinWest","Monitor",-116.512,38.9457,2567.9,343.86,0.43,0.05,0,0,0,135.12,16.6,-3.1
"1940","DW04.2",2007,"DobbinWest","Monitor",-116.5116,38.9414,2611.5,479.8,0.57,0.05,0,0.19,0.19,135.12,16.6,-3.1
"1941","EH01",2007,"Elkhorn","Monitor",-116.651,38.5897,2281.5,422.13,0,0,0,0,0,98.56,18.6,-3.1
"1942","EH02",2007,"Elkhorn","Monitor",-116.6541,38.5873,2330.2,533.56,0,0,0,0,0,98.56,18.6,-3.1
"1943","EH03",2007,"Elkhorn","Monitor",-116.6554,38.59,2327.8,529.11,0,0,0,0,0,98.56,18.6,-3.1
"1944","EH04",2007,"Elkhorn","Monitor",-116.6531,38.5919,2343.5,493.63,0,0,0,0,0,98.56,18.6,-3.1
"1945","GS01",2007,"GrassSprings","Toiyabe",-117.0167,39.4831,2176.8,461.73,0.1,0.1,0,0,0,95.5,21,-1.8
"1946","GS02",2007,"GrassSprings","Toiyabe",-117.0143,39.483,2134.7,423.88,0.05,0.14,0,0,0,95.5,21,-1.8
"1947","GS03",2007,"GrassSprings","Toiyabe",-117.0073,39.4828,2086.3,303.18,0,0.1,0,0,0,95.5,21,-1.8
